"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110",".its() - get properties on the current subject","Connectors","2026-03-28","passed","2026-03-28","","","",""
"","75",".not() - remove DOM elements from set of DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","3556",".type() - type into a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","81","cy.fixture() or require - load a fixture","Files","2026-03-28","passed","2026-03-28","","","",""
"","320",".as() - alias a DOM element for later use","Aliasing","2026-03-28","passed","2026-03-28","","","",""
"","124","cy.getAllCookies() - get all browser cookies","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","200",".children() - get child DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","198","cy.get() - query DOM elements","Querying","2026-03-28","passed","2026-03-28","","","",""
"","70","cy.wrap() - wrap an object","Misc","2026-03-28","passed","2026-03-28","","","",""
"","149","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-28","passed","2026-03-28","","","",""
"","72",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.dom","",""
"","75","Get CPU architecture name of underlying OS","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.arch","",""
"","195",".each() - iterate over an array of elements","Connectors","2026-03-28","passed","2026-03-28","","","",""
"","1590","retries the should callback until assertions pass","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","316","cy.request() - make an XHR request","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","112",".trigger() - trigger an event on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","341",".submit() - submit a form","Actions","2026-03-28","passed","2026-03-28","","","",""
"","242","can filter for completed tasks","example to-do app","2026-03-28","passed","2026-03-28","","with a checked task","",""
"","170","cy.clearCookie() - clear a browser cookie","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","372","displays two todo items by default","example to-do app","2026-03-28","passed","2026-03-28","","","",""
"","167",".add() - create a custom command","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.Commands","",""
"","134",".focus() - focus on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","366","cy.intercept() - route responses to matching requests","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","157","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","80",".prevAll() - get all previous sibling DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","79","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-03-28","passed","2026-03-28","","","",""
"","146","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-03-28","passed","2026-03-28","","","",""
"","82",".eq() - get a DOM element at a specific index","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","242","can filter for uncompleted tasks","example to-do app","2026-03-28","passed","2026-03-28","","with a checked task","",""
"","72","Get environment variables","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.env()","",""
"","177","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","104","cy.contains() - query DOM elements with matching content","Querying","2026-03-28","passed","2026-03-28","","","",""
"","4373","cy.wait() - wait for a specific amount of time","Waiting","2026-03-28","passed","2026-03-28","","","",""
"","168","can check off an item as completed","example to-do app","2026-03-28","passed","2026-03-28","","","",""
"","129","cy.request() with query parameters","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","81","cy.document() - get the document object","Window","2026-03-28","passed","2026-03-28","","","",""
"","80",".nextAll() - get all next sibling DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","803","cy.go() - go back or forward in the browser's history","Navigation","2026-03-28","passed","2026-03-28","","","",""
"","82","invokes a callback function with the current subject","Connectors","2026-03-28","passed","2026-03-28","",".then()","",""
"","267","cy.focused() - get the DOM element that has focus","Misc","2026-03-28","passed","2026-03-28","","","",""
"","23","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","291","cy.getCookie() - get a browser cookie","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","246",".should() - make an assertion about the current subject","Assertions","2026-03-28","passed","2026-03-28","","Implicit Assertions","",""
"","1796",".click() - click on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","159","cy.hash() - get the current URL hash","Location","2026-03-28","passed","2026-03-28","","","",""
"","231","can delete all completed tasks","example to-do app","2026-03-28","passed","2026-03-28","","with a checked task","",""
"","76",".parent() - get parent DOM element from DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","78",".prev() - get previous sibling DOM element","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","68","Get underlying OS name","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.platform","",""
"","79",".filter() - get DOM elements that match the selector","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","80",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","212","cy.wait() - wait for a specific route","Waiting","2026-03-28","passed","2026-03-28","","","",""
"","575","best practices - selecting elements","Querying","2026-03-28","passed","2026-03-28","","","",""
"","165","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-03-28","passed","2026-03-28","","","",""
"","84","finds element by class name regex","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","841","cy.exec() - execute a system command","Misc","2026-03-28","passed","2026-03-28","","","",""
"","215","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-03-28","passed","2026-03-28","","","",""
"","379","can add new todo items","example to-do app","2026-03-28","passed","2026-03-28","","","",""
"","114",".and() - chain multiple assertions together","Assertions","2026-03-28","passed","2026-03-28","","Implicit Assertions","",""
"","84","cy.setCookie() - set a browser cookie","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","279","cy.visit() - visit a remote url","Navigation","2026-03-28","passed","2026-03-28","","","",""
"","459",".clear() - clears an input or textarea element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","94","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-03-28","passed","2026-03-28","","Cypress.Screenshot","",""
"","184","cy.window() - get the global window object","Window","2026-03-28","passed","2026-03-28","","","",""
"","88","cy.readFile() - read file contents","Files","2026-03-28","passed","2026-03-28","","","",""
"","731",".uncheck() - uncheck a checkbox element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","81",".invoke() - invoke a function on the current subject","Connectors","2026-03-28","passed","2026-03-28","","","",""
"","442","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-03-28","passed","2026-03-28","","","",""
"","79",".parents() - get parent DOM elements from DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","90","expect - make an assertion about a specified subject","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","492",".as() - alias a route for later use","Aliasing","2026-03-28","passed","2026-03-28","","","",""
"","811","cy.screenshot() - take a screenshot","Misc","2026-03-28","passed","2026-03-28","","Cypress.Screenshot","",""
"","177","cy.request() - pass result to the second request","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","91","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","158","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-28","passed","2026-03-28","","","",""
"","89","matches unknown text between two elements","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","83","assert - assert shape of an object","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","2103","cy.scrollTo() - scroll the window or element to a position","Actions","2026-03-28","passed","2026-03-28","","","",""
"","179","Cypress.$ - call a jQuery method","Utilities","2026-03-28","passed","2026-03-28","","","",""
"","1070","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-03-28","passed","2026-03-28","","","",""
"","74",".last() - get last DOM element","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","99",".debug() - enable or disable debugging","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.Cookies","",""
"","80",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","75",".within() - query DOM elements within a specific element","Querying","2026-03-28","passed","2026-03-28","","","",""
"","102",".scrollIntoView() - scroll an element into view","Actions","2026-03-28","passed","2026-03-28","","","",""
"","91",".find() - get descendant DOM elements of the selector","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","254","Cypress._ - call a lodash method","Utilities","2026-03-28","passed","2026-03-28","","","",""
"","80",".siblings() - get all sibling DOM elements","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","174","cy.request() - save response in the shared test context","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","160",".rightclick() - right click on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","89",".spread() - spread an array as individual args to callback function","Connectors","2026-03-28","passed","2026-03-28","","","",""
"","95","pass your own callback function to should()","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","19","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","85","yields the original subject without return","Connectors","2026-03-28","passed","2026-03-28","",".then()","",""
"","331","cy.reload() - reload the page","Navigation","2026-03-28","passed","2026-03-28","","","",""
"","240","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","104",".closest() - get closest ancestor DOM element","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","173",".dblclick() - double click on a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","148","cy.writeFile() - write to a file","Files","2026-03-28","passed","2026-03-28","","","",""
"","81","cy.root() - query the root DOM element","Querying","2026-03-28","passed","2026-03-28","","","",""
"","2534","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","86","Get and set configuration options","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.config()","",""
"","366",".blur() - blur off a DOM element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","86",".first() - get first DOM element","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","91","cy.location() - get window.location","Location","2026-03-28","passed","2026-03-28","","","",""
"","74","cy.title() - get the title","Window","2026-03-28","passed","2026-03-28","","","",""
"","87",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","65","Get current spec information","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.spec","",""
"","278","cy.fixture() - load a fixture","Files","2026-03-28","passed","2026-03-28","","","",""
"","194","cy.request() - verify response using BDD syntax","Network Requests","2026-03-28","passed","2026-03-28","","","",""
"","67","cy.url() - get the current URL","Location","2026-03-28","passed","2026-03-28","","","",""
"","78","can throw any error","Assertions","2026-03-28","passed","2026-03-28","","Explicit Assertions","",""
"","68","Get current version of Cypress being run","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.version","",""
"","164","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-03-28","passed","2026-03-28","","","",""
"","738",".check() - check a checkbox or radio element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","101","yields the returned value to the next command","Connectors","2026-03-28","passed","2026-03-28","",".then()","",""
"","77","Control what is printed to the Command Log","Cypress APIs","2026-03-28","passed","2026-03-28","","Cypress.log","",""
"","812",".select() - select an option in a <select> element","Actions","2026-03-28","passed","2026-03-28","","","",""
"","178","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","84","yields the value yielded by the last Cypress command inside","Connectors","2026-03-28","passed","2026-03-28","",".then()","",""
"","81",".next() - get next sibling DOM element","Traversal","2026-03-28","passed","2026-03-28","","","",""
"","126","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-03-28","passed","2026-03-28","","","",""
"","2732","cy.viewport() - set the viewport size and dimension","Viewport","2026-03-28","passed","2026-03-28","","","",""
